epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.0941,1.52631,1.8046,1.34764,0.40666,0.31759,0.30128,0.15093,1.762,3.00112,1.56626,0.070089,0.00332344,0.00332344
2,100.27,1.47153,1.42693,1.33909,0.50553,0.41725,0.42184,0.22583,1.62361,1.61256,1.43576,0.0397595,0.00632727,0.00632727
3,147.947,1.39821,1.3164,1.29988,0.53274,0.46532,0.46068,0.2558,1.54334,1.46252,1.39917,0.0091,0.00900109,0.00900109
4,196.614,1.34688,1.22036,1.25934,0.58236,0.49571,0.51413,0.29049,1.47586,1.38247,1.35216,0.008515,0.008515,0.008515
5,243.885,1.31361,1.16716,1.24144,0.63789,0.48888,0.54467,0.31691,1.45712,1.2619,1.31806,0.00802,0.00802,0.00802
6,291.507,1.26504,1.1094,1.21602,0.61771,0.53252,0.55837,0.32449,1.43656,1.21128,1.30541,0.007525,0.007525,0.007525
7,339.976,1.25386,1.0817,1.20589,0.68649,0.50817,0.57386,0.32788,1.42755,1.22243,1.29179,0.00703,0.00703,0.00703
8,387.291,1.22324,1.04239,1.18709,0.68293,0.52193,0.58585,0.34119,1.38821,1.15916,1.2697,0.006535,0.006535,0.006535
9,435.892,1.19374,0.99976,1.16695,0.67222,0.5219,0.58466,0.34834,1.3762,1.13848,1.25985,0.00604,0.00604,0.00604
10,483.091,1.187,0.98922,1.15804,0.68192,0.53379,0.59818,0.35054,1.3921,1.12509,1.26706,0.005545,0.005545,0.005545
11,529.615,1.14545,0.91305,1.15118,0.66952,0.54796,0.60057,0.355,1.35746,1.10255,1.24816,0.00505,0.00505,0.00505
12,575.302,1.12613,0.88006,1.13402,0.69079,0.54424,0.60491,0.36504,1.37673,1.09872,1.25899,0.004555,0.004555,0.004555
13,620.7,1.09709,0.85473,1.12056,0.69832,0.53998,0.61152,0.36518,1.36553,1.07764,1.24255,0.00406,0.00406,0.00406
14,665.512,1.07834,0.82631,1.10507,0.73007,0.54646,0.62449,0.37718,1.34145,1.05499,1.23311,0.003565,0.003565,0.003565
